Player Info,Defeated,Assist,Defeated_2,Fun Coin,Damage,Tank,Heal,Siege Damage
道光,28,136,3,200,5623728,1941284,0,268188
基隆李维,19,134,5,0,6364574,2117887,0,419260
刀客,19,135,10,0,4575791,3802658,0,643629
YellowFlashhh,18,109,13,0,3065649,2171576,0,130583
木贝,18,133,9,0,2857041,3259911,0,177296
阵末,14,121,8,1100,3835746,1983216,0,600351
Babe,13,98,8,200,2395612,1910403,0,690105
我无敌了弟弟,12,135,7,0,3715445,2148751,0,264449
鑫总肚子疼疼疼,12,109,6,0,3305551,2857025,0,596076
君,12,72,13,0,2138148,1492602,0,1145322
本账号已注销,12,115,9,0,2947625,2348605,0,803103
BigWhiteGoose,12,134,10,0,2473262,3238955,0,293331
谁,12,83,8,0,1685403,2186460,7340964,24202
球,10,44,8,5500,1167583,969342,0,531725
肉汁奶酪薯条,10,119,22,1000,3936224,2687555,0,521912
临渊客,10,159,6,0,3404054,3895798,0,273647
味大无需多盐,8,61,1,3300,2495741,742524,0,614163
宜梦,7,113,15,0,2498212,1951902,0,103457
三,7,40,3,5500,943466,619298,1419204,416295
翻斗花园牛爷爷,7,69,4,0,983700,2192983,10541808,408
七七,7,78,4,0,949003,2349504,10905119,53263
朱步步,6,94,9,0,1221380,3305244,0,48729
乔毅轩,6,80,13,600,1756820,2436688,0,200425
云鬼云鬼,4,60,9,0,1414498,1635522,0,69004
AAAFISH,4,127,14,0,2620499,4220984,0,183302
网瘾杀牛被锁屏,3,60,14,0,1348287,2538351,0,140161
邓诗涵,2,115,14,0,2649091,3586325,0,497319
笑哈,2,51,3,0,216452,2374484,5641139,15632
鹿士乙,1,45,5,0,420498,2971286,10233417,41289
NAinfini,0,0,0,0,0,0,0,0
BabyHu,0,13,3,0,9602,2923530,15640512,0
